Gene	Name
IFNGR1	interferon gamma receptor 1 
IGF1	insulin-like growth factor 1 (somatomedin C) 
IGF1R	insulin-like growth factor 1 receptor 
IGHD	immunoglobulin heavy constant delta 
IGHE	immunoglobulin heavy constant epsilon 
IL4R	interleukin 4 receptor 
IL5	interleukin 5 
IL6ST	interleukin 6 signal transducer 
IL7	interleukin 7 
CXCR1	chemokine (C-X-C motif) receptor 1 
IL12RB1	"interleukin 12 receptor, beta 1 "
IL12RB2	"interleukin 12 receptor, beta 2 "
TNFRSF9	"tumor necrosis factor receptor superfamily, member 9 "
INSRR	insulin receptor-related receptor 
IRF4	interferon regulatory factor 4 
ITGA2B	"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) "
ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) "
ITK	IL2-inducible T-cell kinase 
JAK1	Janus kinase 1 
JAK2	Janus kinase 2 
KIR2DL1	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1 "
KIR2DL4	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4 "
KIR2DL1	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1 "
KIR2DL4	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4 "
KLRC2	"killer cell lectin-like receptor subfamily C, member 2 "
KRT8	"keratin 8, type II "
L1CAM	L1 cell adhesion molecule 
LAIR1	leukocyte-associated immunoglobulin-like receptor 1 
LRP1	low density lipoprotein receptor-related protein 1 
LUM	lumican 
LYN	"LYN proto-oncogene, Src family tyrosine kinase "
SH2D1A	SH2 domain containing 1A 
MAT1A	"methionine adenosyltransferase I, alpha "
MC1R	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor) 
MME	membrane metallo-endopeptidase 
MPL	"MPL proto-oncogene, thrombopoietin receptor "
MT1B	metallothionein 1B 
GADD45B	"growth arrest and DNA-damage-inducible, beta "
MYH9	"myosin, heavy chain 9, non-muscle "
MYO9B	myosin IXB 
NFE2L2	"nuclear factor, erythroid 2-like 2 "
NFIL3	"nuclear factor, interleukin 3 regulated "
NFKBIE	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon "
NOTCH1	notch 1 
NPY	neuropeptide Y 
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog 
OLR1	oxidized low density lipoprotein (lectin-like) receptor 1 
PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1 
PIK3C3	"phosphatidylinositol 3-kinase, catalytic subunit type 3 "
PIK3CA	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha "
PIK3CD	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta "
PLAT	"plasminogen activator, tissue "
PLAUR	"plasminogen activator, urokinase receptor "
PLSCR1	phospholipid scramblase 1 
POLB	"polymerase (DNA directed), beta "
PPARA	peroxisome proliferator-activated receptor alpha 
PPARG	peroxisome proliferator-activated receptor gamma 
MED1	mediator complex subunit 1 
PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7) 
CTSA	cathepsin A 
PRF1	perforin 1 (pore forming protein) 
MAP2K1	mitogen-activated protein kinase kinase 1 
EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2 
PRLR	prolactin receptor 
PRPS2	phosphoribosyl pyrophosphate synthetase 2 
PSMA7	"proteasome (prosome, macropain) subunit, alpha type, 7 "
PTH	parathyroid hormone 
PTPN6	"protein tyrosine phosphatase, non-receptor type 6 "
RAD52	RAD52 homolog (S. cerevisiae) 
REL	v-rel avian reticuloendotheliosis viral oncogene homolog 
RPLP1	"ribosomal protein, large, P1 "
S100B	S100 calcium binding protein B 
SERPINB3	"serpin peptidase inhibitor, clade B (ovalbumin), member 3 "
CCL3L1	chemokine (C-C motif) ligand 3-like 1 
CCL20	chemokine (C-C motif) ligand 20 
CCL21	chemokine (C-C motif) ligand 21 
CXCL5	chemokine (C-X-C motif) ligand 5 
CXCL12	chemokine (C-X-C motif) ligand 12 
SELPLG	selectin P ligand 
SRSF5	serine/arginine-rich splicing factor 5 
SHBG	sex hormone-binding globulin 
STIL	SCL/TAL1 interrupting locus 
SIPA1	signal-induced proliferation-associated 1 
SLC4A3	"solute carrier family 4 (anion exchanger), member 3 "
SLC1A5	"solute carrier family 1 (neutral amino acid transporter), member 5 "
SLC3A2	"solute carrier family 3 (amino acid transporter heavy chain), member 2 "
SLC8A1	"solute carrier family 8 (sodium/calcium exchanger), member 1 "
SNRPN	small nuclear ribonucleoprotein polypeptide N 
SPI1	Spi-1 proto-oncogene 
SST	somatostatin 
ST2	suppression of tumorigenicity 2 
ADAM17	ADAM metallopeptidase domain 17 
TCF4	transcription factor 4 
TCN2	transcobalamin II 
TFAM	"transcription factor A, mitochondrial "
TGFB3	"transforming growth factor, beta 3 "
THBS1	thrombospondin 1 
THPO	thrombopoietin 
TP53BP1	tumor protein p53 binding protein 1 
HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1 "
TRAF2	TNF receptor-associated factor 2 
TRPC6	"transient receptor potential cation channel, subfamily C, member 6 "
TYMS	thymidylate synthetase 
UCP2	"uncoupling protein 2 (mitochondrial, proton carrier) "
NR1H2	"nuclear receptor subfamily 1, group H, member 2 "
VIM	vimentin 
VIP	vasoactive intestinal peptide 
VTN	vitronectin 
XIST	X inactive specific transcript (non-protein coding) 
MANF	mesencephalic astrocyte-derived neurotrophic factor 
DEK	DEK proto-oncogene 
DDX39B	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B 
ARHGEF5	Rho guanine nucleotide exchange factor (GEF) 5 
PDHX	"pyruvate dehydrogenase complex, component X "
FGF23	fibroblast growth factor 23 
HIST2H2AA3	"histone cluster 2, H2aa3 "
HIST2H2BE	"histone cluster 2, H2be "
RECK	reversion-inducing-cysteine-rich protein with kazal motifs 
TTF2	"transcription termination factor, RNA polymerase II "
MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 
MARCO	macrophage receptor with collagenous structure 
TRADD	TNFRSF1A-associated via death domain 
MBTPS1	"membrane-bound transcription factor peptidase, site 1 "
RIPK2	receptor-interacting serine-threonine kinase 2 
MBTPS1	"membrane-bound transcription factor peptidase, site 1 "
RIPK2	receptor-interacting serine-threonine kinase 2 
NAPA	"N-ethylmaleimide-sensitive factor attachment protein, alpha "
IL1RL2	interleukin 1 receptor-like 2 
CFLAR	CASP8 and FADD-like apoptosis regulator 
MBD2	methyl-CpG binding domain protein 2 
SEMA5A	"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A "
EXO1	exonuclease 1 
STK17A	serine/threonine kinase 17a 
CD163	CD163 molecule 
AIM2	absent in melanoma 2 
IL27RA	"interleukin 27 receptor, alpha "
HERPUD1	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 "
RASSF2	Ras association (RalGDS/AF-6) domain family member 2 
NR1H4	"nuclear receptor subfamily 1, group H, member 4 "
SRA1	steroid receptor RNA activator 1 
SH2B3	SH2B adaptor protein 3 
ALYREF	Aly/REF export factor 
STUB1	"STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase "
ABCA7	"ATP-binding cassette, sub-family A (ABC1), member 7 "
MERTK	"MER proto-oncogene, tyrosine kinase "
PROCR	"protein C receptor, endothelial "
CTCF	CCCTC-binding factor (zinc finger protein) 
MASP2	mannan-binding lectin serine peptidase 2 
TRAF3IP2	TRAF3 interacting protein 2 
FGL2	fibrinogen-like 2 
GADD45G	"growth arrest and DNA-damage-inducible, gamma "
KRR1	"KRR1, small subunit (SSU) processome component, homolog (yeast) "
STRAP	serine/threonine kinase receptor associated protein 
TREX2	three prime repair exonuclease 2 
VSIG4	V-set and immunoglobulin domain containing 4 
COG2	component of oligomeric golgi complex 2 
CD93	CD93 molecule 
ATF6	activating transcription factor 6 
DKK1	dickkopf WNT signaling pathway inhibitor 1 
SEC61G	Sec61 gamma subunit 
RNU6-1	"RNA, U6 small nuclear 1 "
CNTN6	contactin 6 
IGKV1-27	immunoglobulin kappa variable 1-27 
BABAM1	BRISC and BRCA1 A complex member 1 
ERVW-1	"endogenous retrovirus group W, member 1 "
IL21R	interleukin 21 receptor 
TRAT1	T cell receptor associated transmembrane adaptor 1 
CLEC4A	"C-type lectin domain family 4, member A "
SCARA3	"scavenger receptor class A, member 3 "
KLF13	Kruppel-like factor 13 
ACSL5	acyl-CoA synthetase long-chain family member 5 
GHRL	ghrelin/obestatin prepropeptide 
TREM1	triggering receptor expressed on myeloid cells 1 
PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1 
TET2	tet methylcytosine dioxygenase 2 
TMEM39A	transmembrane protein 39A 
CHST12	carbohydrate (chondroitin 4) sulfotransferase 12 
RNF114	ring finger protein 114 
APOM	apolipoprotein M 
VKORC1	"vitamin K epoxide reductase complex, subunit 1 "
TSGA10	"testis specific, 10 "
TXNDC5	thioredoxin domain containing 5 (endoplasmic reticulum) 
NBPF3	"neuroblastoma breakpoint family, member 3 "
NT5C1A	"5'-nucleotidase, cytosolic IA "
KRT88P	keratin 88 pseudogene 
MB21D1	Mab-21 domain containing 1 
IL22RA2	"interleukin 22 receptor, alpha 2 "
LYPD4	LY6/PLAUR domain containing 4 
BTLA	B and T lymphocyte associated 
SRFBP1	serum response factor binding protein 1 
GSTK1	glutathione S-transferase kappa 1 
SUMO4	small ubiquitin-like modifier 4 
OR10R3P	"olfactory receptor, family 10, subfamily R, member 3 pseudogene "
USP17L9P	"ubiquitin specific peptidase 17-like family member 9, pseudogene "
MIR148A	microRNA 148a 
LINC01420	long intergenic non-protein coding RNA 1420 
CCR2	chemokine (C-C motif) receptor 2 
KIR2DS2	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2 "
TTC34	tetratricopeptide repeat domain 34 
ERVK-3	"endogenous retrovirus group K, member 3 "
CREBL2	cAMP responsive element binding protein-like 2 
CSK	c-src tyrosine kinase 
DGUOK	deoxyguanosine kinase 
DRD2	dopamine receptor D2 
F13B	"coagulation factor XIII, B polypeptide "
GHR	growth hormone receptor 
GPR19	G protein-coupled receptor 19 
HIP1	huntingtin interacting protein 1 
HLA-DQB2	"major histocompatibility complex, class II, DQ beta 2 "
LAMC2	"laminin, gamma 2 "
NKX2-2	NK2 homeobox 2 
PRKG1	"protein kinase, cGMP-dependent, type I "
SCN10A	"sodium channel, voltage gated, type X alpha subunit "
SLC1A7	"solute carrier family 1 (glutamate transporter), member 7 "
PRPF18	pre-mRNA processing factor 18 
SOCS6	suppressor of cytokine signaling 6 
ATP8A1	"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 "
C6orf10	chromosome 6 open reading frame 10 
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5 
XRN2	5'-3' exoribonuclease 2 
NMNAT2	nicotinamide nucleotide adenylyltransferase 2 
HIC2	hypermethylated in cancer 2 
RGL1	ral guanine nucleotide dissociation stimulator-like 1 
CSTF2T	"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant "
ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A 
CRB1	"crumbs family member 1, photoreceptor morphogenesis associated "
ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A 
CRB1	"crumbs family member 1, photoreceptor morphogenesis associated "
DNPEP	aspartyl aminopeptidase 
EHF	ets homologous factor 
SEZ6L2	seizure related 6 homolog (mouse)-like 2 
CHIA	"chitinase, acidic "
DLL1	delta-like 1 (Drosophila) 
A1CF	APOBEC1 complementation factor 
ATL1	atlastin GTPase 1 
NIN	ninein (GSK3B interacting protein) 
SLC29A3	"solute carrier family 29 (equilibrative nucleoside transporter), member 3 "
KIZ	kizuna centrosomal protein 
SAV1	salvador family WW domain containing protein 1 
DDA1	DET1 and DDB1 associated 1 
PGAP1	post-GPI attachment to proteins 1 
TMPRSS5	"transmembrane protease, serine 5 "
OR4A15	"olfactory receptor, family 4, subfamily A, member 15 "
FAM167A	"family with sequence similarity 167, member A "
COL25A1	"collagen, type XXV, alpha 1 "
NTNG2	netrin G2 
TMEM55B	transmembrane protein 55B 
ANKRD44	ankyrin repeat domain 44 
SLC5A11	"solute carrier family 5 (sodium/inositol cotransporter), member 11 "
TMC2	transmembrane channel-like 2 
CCDC38	coiled-coil domain containing 38 
C14orf37	chromosome 14 open reading frame 37 
LOC154449	uncharacterized LOC154449 
GSX2	GS homeobox 2 
SAMD9L	sterile alpha motif domain containing 9-like 
RTKN2	rhotekin 2 
HCG27	HLA complex group 27 (non-protein coding) 
NAALADL2	N-acetylated alpha-linked acidic dipeptidase-like 2 
NEGR1	neuronal growth regulator 1 
ASPM	"asp (abnormal spindle) homolog, microcephaly associated (Drosophila) "
TPI1P2	triosephosphate isomerase 1 pseudogene 2 
ZBTB41	zinc finger and BTB domain containing 41 
GRXCR1	"glutaredoxin, cysteine rich 1 "
APOBEC4	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative) "
LRRC18	leucine rich repeat containing 18 
NKX2-4	NK2 homeobox 4 
C4B_2	"complement component 4B (Chido blood group), copy 2 "
LOC100506023	uncharacterized LOC100506023 
LOC100506122	uncharacterized LOC100506122 
DGUOK-AS1	DGUOK antisense RNA 1 
ANKRD44-IT1	ANKRD44 intronic transcript 1 
LOC102723568	uncharacterized LOC102723568 
LOC102723768	uncharacterized LOC102723768 
HLA-DRB6	"major histocompatibility complex, class II, DR beta 6 (pseudogene) "
HLA-DRB9	"major histocompatibility complex, class II, DR beta 9 (pseudogene) "
HLA-K	"major histocompatibility complex, class I, K (pseudogene) "
HLA-L	"major histocompatibility complex, class I, L (pseudogene) "
IBD5	inflammatory bowel disease 5 
HLA-N	"major histocompatibility complex, class I, N (pseudogene) "
ASS1P7	argininosuccinate synthetase 1 pseudogene 7 
RPS2P6	ribosomal protein S2 pseudogene 6 
RPL8P1	ribosomal protein L8 pseudogene 1 
UBQLN1P1	ubiquilin 1 pseudogene 1 
WASF5P	"WAS protein family, member 5, pseudogene "
MYL8P	"myosin, light chain 8, pseudogene "
DEFA1A3	"defensin, alpha 1 and alpha 3, variable copy number locus "
SLED1	proteoglycan 3 pseudogene 
HNRNPA1P1	heterogeneous nuclear ribonucleoprotein A1 pseudogene 1 
MAS1LP1	MAS1L pseudogene 1 
SUCLA2P1	"succinate-CoA ligase, ADP-forming, beta subunit pseudogene 1 "
LYPLA2P1	lysophospholipase II pseudogene 1 
DHFRP2	dihydrofolate reductase pseudogene 2 
RPSAP38	ribosomal protein SA pseudogene 38 
HNRNPA1P2	heterogeneous nuclear ribonucleoprotein A1 pseudogene 2 
RPS3AP9	ribosomal protein S3a pseudogene 9 
ADIPQTL4	"Adiponectin, serum level of, QTL4 "
RPS3AP9	ribosomal protein S3a pseudogene 9 
ADIPQTL4	"Adiponectin, serum level of, QTL4 "
