Gene,adj.P.Val,P.Value,t,B,logFC
CDC34,0.959,0.154349,1.4745499,-4.41,0.26794605
FBXO16///ZNF395,0.959,0.154365,-1.4744883,-4.41,-0.13474984
SLC35A3,0.959,0.154384,-1.474416,-4.41,-0.17737269
,0.959,0.15439,-1.4743928,-4.41,-0.07442539
LDLRAP1,0.959,0.154416,-1.4742974,-4.41,-0.23152351
OR5I1,0.959,0.154452,1.474162,-4.41,0.12538509
GATAD1,0.959,0.154484,-1.4740442,-4.41,-0.17545576
IMPA2,0.959,0.154785,1.4729161,-4.41,0.15472002
ARIH1,0.959,0.154822,-1.4727791,-4.41,-0.13791885
MGAT5,0.959,0.155016,-1.4720545,-4.41,-0.17408237
CYLD,0.959,0.155084,-1.4717984,-4.41,-0.12889972
HRH4,0.959,0.155117,1.471675,-4.41,0.37406321
CSPG4,0.959,0.155147,1.4715661,-4.42,0.13657899
IDE,0.959,0.15517,-1.4714779,-4.42,-0.11710477
PARVB,0.959,0.155254,-1.4711647,-4.42,-0.23291888
TRO,0.959,0.155261,1.4711373,-4.42,0.08459623
SYNJ1,0.959,0.1553,-1.4709921,-4.42,-0.20960617
MST1L,0.959,0.155332,1.4708756,-4.42,0.07717819
SH3GLB2,0.959,0.155394,1.4706423,-4.42,0.19736943
DRC3,0.959,0.1554,1.4706218,-4.42,0.15978227
,0.959,0.15544,-1.4704737,-4.42,-0.20889659
SERPINA10,0.959,0.155467,1.4703712,-4.42,0.09342976
IFNA16,0.959,0.155531,1.4701343,-4.42,0.08303821
KCTD20,0.959,0.155546,-1.4700785,-4.42,-0.1055676
IKBKB,0.959,0.155595,-1.4698939,-4.42,-0.12868247
TNS2,0.959,0.155618,1.4698084,-4.42,0.13703384
MX1,0.959,0.155626,1.4697787,-4.42,0.42576308
ADCY2,0.959,0.155649,-1.4696948,-4.42,-0.07860189
KYNU,0.959,0.155664,1.4696363,-4.42,0.1131454
CNTLN,0.959,0.155684,-1.4695643,-4.42,-0.12663598
RPP25,0.959,0.155794,1.4691557,-4.42,0.09247999
MKL2,0.959,0.155806,-1.4691101,-4.42,-0.20941467
GRIK1,0.959,0.155854,1.4689308,-4.42,0.13185015
PRKCH,0.959,0.155977,-1.4684732,-4.42,-0.23961468
KIF2C,0.959,0.156,1.4683882,-4.42,0.08929467
TNPO1,0.959,0.156022,-1.4683062,-4.42,-0.27017755
FOSL1,0.959,0.156025,1.4682953,-4.42,0.10133409
PRPF31,0.959,0.156098,1.468026,-4.42,0.14307127
ITIH5,0.959,0.15618,1.4677196,-4.42,0.1204031
GAN,0.959,0.156212,1.4676031,-4.42,0.07451804
PHF24,0.959,0.156224,1.4675563,-4.42,0.08841007
PRPSAP2,0.959,0.156235,-1.4675181,-4.42,-0.17166405
SDK2,0.959,0.156277,1.4673618,-4.42,0.16371608
TAZ,0.959,0.156355,1.4670719,-4.42,0.09415517
ARMC9,0.959,0.156356,1.4670661,-4.42,0.18073516
PDCD2,0.959,0.156382,1.466971,-4.42,0.10967445
ACVR1,0.959,0.156502,-1.4665282,-4.42,-0.24207144
GUSB,0.959,0.156526,-1.466438,-4.42,-0.17782245
NME3,0.959,0.156561,1.4663068,-4.42,0.0987781
,0.959,0.156645,-1.4659951,-4.42,-0.11278014
G3BP2,0.959,0.156651,-1.4659738,-4.42,-0.20541039
C12orf10,0.959,0.156654,1.4659635,-4.42,0.09923301
INS,0.959,0.156712,1.4657473,-4.42,0.15171905
PIK3CB,0.959,0.156746,-1.465622,-4.42,-0.20160489
BCL2,0.959,0.156807,-1.4653991,-4.42,-0.26311641
VDR,0.959,0.156872,-1.4651586,-4.42,-0.13438907
ZNF408,0.959,0.156946,1.4648839,-4.42,0.08709297
RABGAP1,0.959,0.157021,-1.4646062,-4.42,-0.14010792
RBM14-RBM4///RBM4,0.959,0.157053,1.4644867,-4.42,0.12119627
,0.959,0.157077,-1.464399,-4.42,-0.10735502
UBA6,0.959,0.157091,1.4643469,-4.42,0.08558793
AGMAT,0.959,0.157121,-1.4642352,-4.42,-0.26790051
TTC3P1///TTC3,0.959,0.157185,-1.4640011,-4.42,-0.25398302
ARSD,0.959,0.157201,1.4639427,-4.42,0.17295222
BTN2A1,0.959,0.157219,1.4638768,-4.42,0.12603378
PYGB,0.959,0.15726,-1.463724,-4.42,-0.10728807
GMFG,0.959,0.157329,1.4634692,-4.42,0.31202097
NPRL3,0.959,0.157336,1.463445,-4.42,0.35111203
MCFD2,0.959,0.157395,-1.4632271,-4.42,-0.20356259
CAPZA1,0.959,0.157432,1.4630874,-4.42,0.24844036
ESPL1,0.959,0.157435,1.4630774,-4.42,0.09554005
KLRC4,0.959,0.157452,-1.4630156,-4.42,-0.12498481
OGG1,0.959,0.157504,1.4628221,-4.42,0.11239109
IBSP,0.959,0.157522,1.4627569,-4.42,0.16020584
NPVF,0.959,0.157593,1.4624946,-4.42,0.11125422
AKAP11,0.959,0.15762,-1.4623964,-4.42,-0.11927295
GFPT2,0.959,0.157693,1.4621256,-4.42,0.14011445
ISG20,0.959,0.157702,1.4620925,-4.42,0.20442238
KCTD2,0.959,0.157736,1.4619682,-4.42,0.08251352
CENPF,0.959,0.157797,1.4617448,-4.42,0.07082183
PCYT1A,0.959,0.157798,1.4617404,-4.42,0.10142136
PRRC2C,0.959,0.1578,-1.4617323,-4.42,-0.14042835
PLCE1,0.959,0.157916,1.4613072,-4.42,0.10392575
RAD51,0.959,0.157928,1.4612642,-4.42,0.1035943
EIF6,0.959,0.157932,1.4612468,-4.42,0.11790295
MTRF1,0.959,0.157997,-1.4610092,-4.42,-0.09414072
PTCH1,0.959,0.158069,-1.4607449,-4.42,-0.24460411
CELF1,0.959,0.158085,-1.4606853,-4.42,-0.15385728
CYP2A6,0.959,0.158115,1.4605767,-4.42,0.15401874
SNORA21///RPL23,0.959,0.158128,1.4605267,-4.42,0.36966543
KDM5B,0.959,0.158235,-1.460135,-4.42,-0.17896881
,0.959,0.158308,-1.4598656,-4.42,-0.10087643
,0.959,0.158315,-1.4598392,-4.42,-0.12452831
SECISBP2L,0.959,0.158322,-1.4598153,-4.42,-0.19482298
HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG,0.959,0.158329,1.4597894,-4.42,0.16956544
PAPOLG,0.959,0.158351,-1.4597075,-4.42,-0.18824816
DNAJC4,0.959,0.158387,1.459576,-4.42,0.16039643
NME4,0.959,0.158401,1.4595263,-4.42,0.16185946
MADCAM1,0.959,0.158412,-1.4594844,-4.42,-0.12535968
HMX1,0.959,0.158431,1.4594162,-4.42,0.12203231
KMT2A,0.959,0.158433,-1.4594061,-4.42,-0.15994372
LPL,0.959,0.158494,-1.4591844,-4.42,-0.13244271
C19orf57,0.959,0.158531,1.4590494,-4.42,0.11098571
RAD17,0.959,0.158622,-1.4587149,-4.43,-0.17907414
PLPPR2,0.959,0.158623,1.4587124,-4.43,0.1331316
U2SURP,0.959,0.158626,-1.4586986,-4.43,-0.24301081
IL6ST,0.959,0.158634,-1.4586718,-4.43,-0.18271079
RPGR,0.959,0.158664,-1.4585608,-4.43,-0.2090981
,0.959,0.158688,1.4584719,-4.43,0.13619361
IGFBP5,0.959,0.158705,1.4584113,-4.43,0.13571863
TCF3,0.959,0.158746,1.458261,-4.43,0.11162906
MAG,0.959,0.158806,1.4580405,-4.43,0.15287104
SAT1,0.959,0.159082,1.4570326,-4.43,0.18676567
MAP3K14,0.959,0.159099,-1.4569702,-4.43,-0.11534677
SUPT3H,0.959,0.159134,1.4568399,-4.43,0.10077491
OAZ2,0.959,0.159149,1.4567873,-4.43,0.12298136
MIR4656///AP5Z1,0.959,0.159154,1.4567677,-4.43,0.13912749
BRD1,0.959,0.159164,-1.4567304,-4.43,-0.12204022
TTC19,0.959,0.159265,-1.4563608,-4.43,-0.16643653
IL2RG,0.959,0.159342,-1.4560816,-4.43,-0.15266028
,0.959,0.159442,-1.4557145,-4.43,-0.11544991
ABCC8,0.959,0.159447,1.4556967,-4.43,0.12832508
YME1L1,0.959,0.15955,-1.4553236,-4.43,-0.11843863
EIF2S1,0.959,0.159639,-1.4549982,-4.43,-0.21535068
MYOM2,0.959,0.159652,1.4549483,-4.43,0.53486109
RGS4,0.959,0.159806,1.4543888,-4.43,0.1217793
CNPY4,0.959,0.159866,1.4541714,-4.43,0.14705825
BCL7A,0.959,0.159917,1.453986,-4.43,0.09433284
RRN3,0.959,0.159955,-1.4538452,-4.43,-0.24942575
LDOC1,0.959,0.159992,1.4537105,-4.43,0.14389482
KLF3-AS1,0.959,0.160029,-1.4535776,-4.43,-0.19520493
TLN2,0.959,0.160146,1.4531526,-4.43,0.14334359
ARNTL,0.959,0.160174,-1.4530484,-4.43,-0.15068297
RPL27A,0.959,0.160188,-1.4529976,-4.43,-0.17969637
PRSS2,0.959,0.160215,1.4529004,-4.43,0.12290425
IL32,0.959,0.160246,-1.4527872,-4.43,-0.28859758
TOMM6///PRICKLE4,0.959,0.160281,1.452661,-4.43,0.17993412
PDGFD,0.959,0.160286,1.4526412,-4.43,0.26413746
IKZF1,0.959,0.160423,-1.4521453,-4.43,-0.11567764
SMARCA4,0.959,0.160427,-1.4521301,-4.43,-0.13778872
SMC5,0.959,0.160427,-1.4521295,-4.43,-0.17977037
STOM,0.959,0.160428,1.4521264,-4.43,0.09253826
SEZ6L,0.959,0.160429,1.452121,-4.43,0.07085514
SLC9A3R2,0.959,0.160458,1.4520175,-4.43,0.11882334
EPHB1,0.959,0.160521,1.451788,-4.43,0.11335926
GPD1,0.959,0.160539,1.4517234,-4.43,0.12219286
DDX52,0.959,0.160553,-1.4516709,-4.43,-0.22415547
GADD45A,0.959,0.160575,1.4515911,-4.43,0.16795306
,0.959,0.160577,1.4515868,-4.43,0.11718588
IFIT5,0.959,0.160578,1.4515824,-4.43,0.35151553
RAP1GAP,0.959,0.16061,1.4514674,-4.43,0.39376497
NDUFB6,0.959,0.160615,1.4514485,-4.43,0.15915432
LOC79999,0.959,0.160633,1.4513824,-4.43,0.14442973
HRH1,0.959,0.160662,1.4512779,-4.43,0.12097888
DNAAF1,0.959,0.160843,1.450621,-4.43,0.14027104
ADRA1D,0.959,0.160879,1.4504902,-4.43,0.10642562
SOCS1,0.959,0.16089,1.4504489,-4.43,0.12495446
BCL2A1,0.959,0.160913,1.4503661,-4.43,0.55635071
ZNF638-IT1///ZNF638,0.959,0.160986,-1.4501025,-4.43,-0.1968174
ZNF12,0.959,0.16106,-1.4498346,-4.43,-0.22934041
THBS2,0.959,0.161087,1.4497383,-4.43,0.10979114
SLCO4A1,0.959,0.161153,1.449497,-4.43,0.08816929
SCAPER,0.959,0.161159,-1.4494781,-4.43,-0.13182292
KCNAB1,0.959,0.161177,1.4494101,-4.43,0.10125189
RGPD6///RGPD8///RGPD3///RGPD4///RGPD5,0.959,0.161247,-1.4491585,-4.43,-0.22913141
HES1,0.959,0.161247,1.4491567,-4.43,0.18090298
FGF23,0.959,0.161253,1.4491359,-4.43,0.09137397
POLR3G,0.959,0.161254,1.4491341,-4.43,0.09317412
ARHGAP1,0.959,0.161265,-1.4490923,-4.43,-0.12932396
PATZ1,0.959,0.161337,-1.4488345,-4.43,-0.18012924
GLP1R,0.959,0.161353,1.4487746,-4.43,0.11476817
OSBPL10,0.959,0.161385,1.4486613,-4.43,0.10598173
ACADL,0.959,0.161403,1.4485928,-4.43,0.08660359
CD47,0.959,0.16145,1.448426,-4.43,0.16277366
ROR1,0.959,0.161573,-1.4479806,-4.43,-0.13302436
THEG,0.959,0.161636,1.4477525,-4.43,0.12816777
GLE1,0.959,0.16165,1.4477012,-4.43,0.11490698
SRF,0.959,0.161808,1.4471336,-4.43,0.11732836
NQO2,0.959,0.161818,1.4470964,-4.43,0.43173871
ACTN4,0.959,0.161854,-1.446967,-4.43,-0.12849894
TCF21,0.959,0.161964,1.4465707,-4.43,0.11817422
DDX24,0.959,0.16199,-1.4464764,-4.43,-0.20952148
ITGA2B,0.959,0.162069,-1.4461921,-4.43,-0.36022983
HNRNPD,0.959,0.162078,-1.4461593,-4.43,-0.14936285
TYRP1,0.959,0.162134,1.4459575,-4.43,0.10569928
SLC4A5,0.959,0.162175,1.4458095,-4.44,0.08526034
C2orf68,0.959,0.162383,-1.4450599,-4.44,-0.17945223
ANXA7,0.959,0.162385,-1.4450554,-4.44,-0.17601042
INHBA,0.959,0.162409,1.4449699,-4.44,0.08381472
TRAK1,0.959,0.162425,-1.4449103,-4.44,-0.11178017
LRRC31,0.959,0.162508,1.4446137,-4.44,0.08540282
AURKC,0.959,0.162554,-1.4444481,-4.44,-0.11652517
MAPK1IP1L,0.959,0.16262,-1.4442089,-4.44,-0.1627965
FASTK,0.959,0.162631,1.4441695,-4.44,0.09332891
TAAR3,0.959,0.16265,1.4441029,-4.44,0.12095518
DLAT,0.959,0.162792,-1.4435911,-4.44,-0.21786451
PAOX,0.959,0.162835,1.4434393,-4.44,0.10027575
ANKRD17,0.959,0.162839,-1.4434239,-4.44,-0.21225181
KXD1,0.959,0.162971,1.4429515,-4.44,0.13399339
DDAH2,0.959,0.163053,1.4426551,-4.44,0.10238414
GPR17,0.959,0.163078,1.4425674,-4.44,0.15273926
SSH1,0.959,0.163096,-1.4425019,-4.44,-0.12184052
TMX4,0.959,0.163119,-1.4424209,-4.44,-0.16599045
MDM4,0.959,0.163181,-1.4421965,-4.44,-0.19043083
NANOG,0.959,0.163187,1.4421774,-4.44,0.1292068
PDE3B,0.959,0.163324,-1.4416868,-4.44,-0.13738275
TIMM10,0.959,0.163343,1.4416166,-4.44,0.09331136
IRGQ,0.959,0.163384,1.4414722,-4.44,0.07092247
TBCB,0.959,0.1634,1.4414121,-4.44,0.13836746
PCLO,0.959,0.163457,1.4412091,-4.44,0.09688737
DOCK10,0.959,0.163558,-1.4408496,-4.44,-0.27265363
GAPVD1,0.959,0.163564,-1.4408271,-4.44,-0.12575912
UBQLN2,0.959,0.16357,-1.440805,-4.44,-0.21837454
PSMB1,0.959,0.1636,1.4406969,-4.44,0.11362133
CPQ,0.959,0.163702,1.4403336,-4.44,0.14650745
ARMC8,0.959,0.163796,-1.4399985,-4.44,-0.14051623
R3HDM2,0.959,0.16384,-1.4398417,-4.44,-0.11759882
RPS6,0.959,0.163905,1.4396094,-4.44,0.19585152
LSM3,0.959,0.163973,1.4393676,-4.44,0.13539715
ARL1,0.959,0.164119,-1.4388469,-4.44,-0.09246504
CYP2C8,0.959,0.16414,1.4387713,-4.44,0.09264324
KIAA0100,0.959,0.164215,-1.4385026,-4.44,-0.10707984
KIF1BP,0.959,0.164249,-1.4383811,-4.44,-0.19563751
ITPR3,0.959,0.164324,1.4381162,-4.44,0.1034905
,0.959,0.164345,-1.4380401,-4.44,-0.0908314
ST3GAL6,0.959,0.164365,1.4379695,-4.44,0.18183861
SIGLEC7,0.959,0.164406,1.4378212,-4.44,0.10990014
RBM48,0.959,0.164432,-1.4377287,-4.44,-0.25948253
GCM1,0.959,0.164448,-1.4376734,-4.44,-0.10178895
ALDOB,0.959,0.164565,1.4372586,-4.44,0.0983511
VSNL1,0.959,0.16464,1.4369897,-4.44,0.12664552
EMP3,0.959,0.164641,1.4369862,-4.44,0.11363144
AGGF1,0.959,0.164669,-1.4368858,-4.44,-0.17664928
TCF4,0.959,0.164693,-1.4368022,-4.44,-0.25268359
CIZ1,0.959,0.164701,1.4367749,-4.44,0.10322523
PAK2,0.959,0.16474,1.4366345,-4.44,0.15104847
RPS6KA2,0.959,0.164749,1.4366044,-4.44,0.1318604
SPARC,0.959,0.164869,-1.436177,-4.44,-0.21605892
P2RY4,0.959,0.164995,1.435729,-4.44,0.09831948
UBAP2L,0.959,0.16507,1.4354609,-4.44,0.12031603
PBX2,0.959,0.165123,1.4352761,-4.44,0.1251298
ONECUT2,0.959,0.165163,-1.4351314,-4.44,-0.12715225
ABHD2,0.959,0.165171,-1.4351031,-4.44,-0.28413477
GRK1,0.959,0.165206,1.43498,-4.44,0.17286
RAMP2,0.959,0.165255,1.4348048,-4.44,0.12929907
SNRPD2,0.959,0.165447,1.4341262,-4.44,0.30193725
KIF1A,0.959,0.165449,1.434119,-4.44,0.06700425
TOR1AIP1,0.959,0.165497,-1.4339505,-4.44,-0.1463614
BUB1,0.959,0.165519,1.4338706,-4.44,0.07440603
GATC,0.959,0.165592,-1.4336116,-4.44,-0.20525661
TRIM39-RPP21///RPP21///TRIM39,0.959,0.165622,1.4335065,-4.44,0.11172276
MORC3,0.959,0.165652,-1.4333986,-4.44,-0.22016926
PYCRL,0.959,0.165687,1.4332759,-4.44,0.11537709
FZD7,0.959,0.165694,1.4332504,-4.44,0.08608921
GADD45B,0.959,0.165709,1.4331983,-4.44,0.10481491
CABP2,0.959,0.165784,1.4329324,-4.44,0.13454103
ELSPBP1,0.959,0.165833,1.4327616,-4.45,0.08488212
RBKS,0.959,0.165846,1.4327139,-4.45,0.09443007
ETV4,0.959,0.165896,1.432538,-4.45,0.14821901
CELF2,0.959,0.165918,-1.4324585,-4.45,-0.07863875
SETD6,0.959,0.165929,-1.4324198,-4.45,-0.22725368
TROVE2,0.959,0.165935,-1.432398,-4.45,-0.13480148
MAD2L1BP,0.959,0.165956,1.4323234,-4.45,0.12026401
TYK2,0.959,0.165995,1.4321877,-4.45,0.11648474
TNFAIP8L2-SCNM1///SCNM1,0.959,0.166009,1.4321379,-4.45,0.10524721
KLF10,0.959,0.166019,-1.4321015,-4.45,-0.17800627
FHL1,0.959,0.166031,-1.4320603,-4.45,-0.13722639
CRYGC,0.959,0.166119,1.4317496,-4.45,0.13612952
LDHAL6B,0.959,0.166367,-1.4308734,-4.45,-0.08268211
NDRG4,0.959,0.166382,1.4308206,-4.45,0.11214733
ASPH,0.959,0.166471,1.4305091,-4.45,0.15223455
RUBCN,0.959,0.166515,-1.430354,-4.45,-0.18190799
PMP22,0.959,0.166519,1.4303387,-4.45,0.29636235
DNAJC4,0.959,0.166744,1.4295464,-4.45,0.14933939
SPRR2B,0.959,0.166757,1.4295004,-4.45,0.13259101
OTC,0.959,0.166793,1.4293731,-4.45,0.14468775
SRSF4,0.959,0.166831,-1.4292391,-4.45,-0.1318368
PPP1R3C,0.959,0.166932,1.4288857,-4.45,0.1173789
UBXN1,0.959,0.166936,1.4288699,-4.45,0.13567233
TARBP2,0.959,0.166982,1.4287089,-4.45,0.088939
SC5D,0.959,0.167042,1.4284961,-4.45,0.11393161
CAP2,0.959,0.167113,-1.4282475,-4.45,-0.11163626
KLK5,0.959,0.167132,1.4281806,-4.45,0.15101161
TAB2,0.959,0.167142,-1.428147,-4.45,-0.19596381
PSMD1,0.959,0.167146,-1.4281314,-4.45,-0.11705532
DPY19L1,0.959,0.167147,1.4281288,-4.45,0.12963309
BRIP1,0.959,0.167244,1.4277862,-4.45,0.08619614
OSBPL3,0.959,0.167245,-1.4277854,-4.45,-0.19385176
TCOF1,0.959,0.167275,1.427678,-4.45,0.11818919
CORO1A,0.959,0.167329,1.427489,-4.45,0.16956854
HIST1H2BB,0.959,0.16742,1.4271711,-4.45,0.14049897
SON,0.959,0.167424,-1.4271548,-4.45,-0.11381526
WBP11,0.959,0.167486,-1.4269377,-4.45,-0.16026049
DMPK,0.959,0.167515,1.4268378,-4.45,0.10461054
UBR4,0.959,0.167597,-1.4265481,-4.45,-0.1516377
PPP2CB,0.959,0.167665,-1.42631,-4.45,-0.21518536
KCNK3,0.959,0.167682,1.4262499,-4.45,0.11355691
APOL1,0.959,0.167697,1.4261972,-4.45,0.0882071
HCRP1,0.959,0.167705,-1.4261723,-4.45,-0.13514414
DHCR7,0.959,0.167785,-1.425891,-4.45,-0.10426779
TM4SF1,0.959,0.167858,1.4256338,-4.45,0.08119497
BGN,0.959,0.167887,1.4255331,-4.45,0.1467545
,0.959,0.167953,1.4253025,-4.45,0.09175057
FAT4,0.959,0.168016,1.4250824,-4.45,0.11143229
SCYL2,0.959,0.168063,-1.4249165,-4.45,-0.22858429
RASA1,0.959,0.168064,-1.4249149,-4.45,-0.21609936
SF3A2,0.959,0.168121,-1.424715,-4.45,-0.10450931
,0.959,0.168196,1.424452,-4.45,0.10056024
ADD2,0.959,0.168208,1.42441,-4.45,0.10697966
PRKAR2A,0.959,0.168276,-1.4241717,-4.45,-0.08582125
LAX1,0.959,0.168328,-1.4239901,-4.45,-0.12739725
MFGE8,0.959,0.168343,1.4239401,-4.45,0.12080798
RPS27L,0.959,0.168389,1.4237785,-4.45,0.19905262
TSR2,0.959,0.168439,1.423604,-4.45,0.07168002
,0.959,0.168449,-1.4235674,-4.45,-0.12501831
NCR1,0.959,0.168505,1.4233723,-4.45,0.14046617
CDC42BPA,0.959,0.168528,1.4232935,-4.45,0.12915812
ST8SIA5,0.959,0.168552,1.4232079,-4.45,0.13798847
,0.959,0.168696,1.4227048,-4.45,0.08348572
GMNN,0.959,0.168815,1.4222922,-4.45,0.16773653
WWP1,0.959,0.168815,-1.4222915,-4.45,-0.24340494
NFRKB,0.959,0.168846,-1.422183,-4.45,-0.1131175
GSTM4,0.959,0.168886,1.4220427,-4.45,0.33893194
HSPB11,0.959,0.168896,-1.4220097,-4.45,-0.16471472
RFC5,0.959,0.168912,-1.4219531,-4.45,-0.37319427
XPNPEP1,0.959,0.168955,-1.4218039,-4.45,-0.1818428
PLAG1,0.959,0.168976,-1.4217309,-4.45,-0.11770644
,0.959,0.16899,1.4216825,-4.45,0.11452942
KPNA3,0.959,0.169007,-1.4216223,-4.45,-0.17860837
SENP7,0.959,0.169035,-1.4215249,-4.45,-0.19903443
ZNF33B,0.959,0.169113,-1.4212527,-4.45,-0.12253165
CSHL1,0.959,0.169144,1.4211465,-4.45,0.11846428
SCRN1,0.959,0.169169,-1.4210579,-4.45,-0.20215244
METAP1,0.959,0.169183,-1.4210112,-4.45,-0.13329978
MAP2K7,0.959,0.169194,1.4209725,-4.45,0.12355247
9-Sep,0.959,0.169241,-1.4208096,-4.45,-0.13318024
CD28,0.959,0.169252,-1.4207687,-4.45,-0.08270488
NCOR2,0.959,0.169289,1.4206414,-4.45,0.13323812
SKP1,0.959,0.169369,1.4203625,-4.45,0.12819576
LYST,0.959,0.169448,-1.4200894,-4.45,-0.23545513
ARL4A,0.959,0.169461,1.4200433,-4.45,0.13871408
TRIM44,0.959,0.169503,-1.4198987,-4.45,-0.15570054
CLCNKB,0.959,0.169543,1.4197589,-4.46,0.09645743
FN1,0.959,0.169642,1.4194137,-4.46,0.14278369
FTSJ1,0.959,0.169667,1.4193264,-4.46,0.09498067
MARK3,0.959,0.16976,-1.4190044,-4.46,-0.16067967
TSNAX-DISC1///DISC1,0.959,0.169762,-1.418998,-4.46,-0.17977352
RYK,0.959,0.169829,1.4187653,-4.46,0.107236
UBL4A,0.959,0.169843,1.4187156,-4.46,0.08489327
APOOL,0.959,0.169882,-1.4185825,-4.46,-0.13465629
CHST15,0.959,0.169889,-1.4185585,-4.46,-0.17550058
CLCN4,0.959,0.169984,-1.4182274,-4.46,-0.08682179
GCFC2,0.959,0.169991,1.4182034,-4.46,0.09662752
,0.959,0.170065,-1.4179467,-4.46,-0.0880476
TBC1D9B,0.959,0.170122,-1.4177514,-4.46,-0.0833818
PAXBP1,0.959,0.170204,-1.417465,-4.46,-0.09669814
CAMKK2,0.959,0.17027,1.417236,-4.46,0.12531433
CCL5,0.959,0.170285,-1.4171849,-4.46,-0.18077498
TOX4,0.959,0.1703,-1.4171348,-4.46,-0.13409724
IL12RB2,0.959,0.170313,1.4170883,-4.46,0.12661142
KRT18,0.959,0.170384,-1.4168436,-4.46,-0.10075889
NUP62,0.959,0.170429,-1.4166888,-4.46,-0.18553405
MED6,0.959,0.170453,-1.4166034,-4.46,-0.19727135
ZNF710,0.959,0.170574,-1.4161871,-4.46,-0.10099454
NPR1,0.959,0.170625,1.4160082,-4.46,0.11534605
RUFY3,0.959,0.170712,-1.4157105,-4.46,-0.23939667
TP63,0.959,0.170713,1.4157044,-4.46,0.11335034
KLF13,0.959,0.170774,-1.4154951,-4.46,-0.1642508
CD2BP2,0.959,0.170881,1.4151259,-4.46,0.08796806
CINP,0.959,0.170892,1.4150873,-4.46,0.13798137
KDM4A,0.959,0.170932,-1.4149503,-4.46,-0.12265906
RBL2,0.959,0.170943,-1.4149126,-4.46,-0.11822872
SH3GLB1,0.959,0.170962,1.4148443,-4.46,0.13341722
UBR5,0.959,0.170993,-1.414739,-4.46,-0.21271625
IL17A,0.959,0.171017,1.4146577,-4.46,0.10002151
PAFAH1B2,0.959,0.171023,1.4146369,-4.46,0.14456811
CPT1A,0.959,0.171114,1.4143229,-4.46,0.13711944
BLMH,0.959,0.171115,-1.4143195,-4.46,-0.08724561
POLR2A,0.959,0.171135,1.4142479,-4.46,0.11711411
ABCB9,0.959,0.171216,1.4139693,-4.46,0.10445242
DRD3,0.959,0.171316,1.4136255,-4.46,0.09194388
BTF3,0.959,0.171329,-1.413582,-4.46,-0.1496439
C8B,0.959,0.171346,1.4135233,-4.46,0.10388403
TTN,0.959,0.171374,1.4134256,-4.46,0.10930481
,0.959,0.171417,-1.4132762,-4.46,-0.11126206
DSG1,0.959,0.17142,1.4132669,-4.46,0.08627045
PPP2R1B,0.959,0.171443,-1.4131891,-4.46,-0.17910237
SLCO3A1,0.959,0.171568,-1.4127587,-4.46,-0.109056
CXCR6,0.959,0.171591,1.4126784,-4.46,0.14219666
LGALS13,0.959,0.1716,1.412649,-4.46,0.10281887
PTPN9,0.959,0.171627,-1.4125544,-4.46,-0.1190702
CREBL2,0.959,0.171669,-1.4124115,-4.46,-0.17976055
ZWINT,0.959,0.17169,1.4123388,-4.46,0.20485916
FCF1,0.959,0.171712,-1.4122628,-4.46,-0.14036021
MED6,0.959,0.171727,1.4122119,-4.46,0.12280393
CCDC68,0.959,0.171734,1.4121856,-4.46,0.09192922
NCOR1,0.959,0.171748,-1.4121392,-4.46,-0.13724012
LPAL2,0.959,0.171757,1.4121093,-4.46,0.1411231
TAOK3,0.959,0.171757,1.4121088,-4.46,0.09414334
MRPS31,0.959,0.171931,-1.4115094,-4.46,-0.16019049
SPATS2,0.959,0.171994,1.4112927,-4.46,0.11847053
RNF187,0.959,0.171999,1.4112755,-4.46,0.14781647
PDE4DIP,0.959,0.172008,1.411244,-4.46,0.10734897
PTHLH,0.959,0.172056,1.4110808,-4.46,0.09554057
SNED1,0.959,0.172069,1.4110346,-4.46,0.12786579
INSL5,0.959,0.172081,1.4109958,-4.46,0.10771604
SYPL1,0.959,0.172093,-1.4109528,-4.46,-0.21554775
CCDC85B,0.959,0.172096,1.4109422,-4.46,0.1078011
HS2ST1,0.959,0.172141,-1.4107899,-4.46,-0.11780601
GRB7,0.959,0.172239,1.4104532,-4.46,0.13380375
CDKN2A,0.959,0.172318,1.4101815,-4.46,0.11096129
STRN,0.959,0.172326,-1.4101534,-4.46,-0.0833396
MSRB2,0.959,0.172355,1.4100563,-4.46,0.28151212
MEX3C,0.959,0.1724,-1.4098997,-4.46,-0.22889013
CCL11,0.959,0.172409,1.4098714,-4.46,0.10830619
MYH3,0.959,0.172412,1.4098595,-4.46,0.12726395
ATPAF2,0.959,0.172414,1.4098512,-4.46,0.09904132
R3HDM4,0.959,0.172457,1.4097041,-4.46,0.14756231
FBXO11,0.959,0.172488,-1.4096,-4.46,-0.17736421
SLC6A2,0.959,0.172563,1.4093426,-4.46,0.07852991
HEG1,0.959,0.172566,-1.4093326,-4.46,-0.14701152
,0.959,0.172581,-1.4092811,-4.46,-0.1297519
KLHL3,0.959,0.172668,-1.408982,-4.46,-0.12720099
PKNOX1,0.959,0.172679,-1.4089443,-4.46,-0.09864092
NEMP1,0.959,0.172734,-1.4087563,-4.46,-0.10152855
SNAPC2,0.959,0.172749,1.4087067,-4.46,0.12883177
