Gene symbol	Aliases	Description	Disease count
GAP43	B-50, PP46	growth associated protein 43	3	
GAPDH	G3PD, GAPD, HEL-S-162eP	glyceraldehyde-3-phosphate dehydrogenase	5	
LRRC32	D11S833E, GARP	leucine rich repeat containing 32	3	
GARS	CMT2D, DSMAV, GlyRS, HMN5, SMAD1	glycyl-tRNA synthetase	1	
GART	AIRS, GARS, GARTF, PAIS, PGFT, PRGS	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	1	
GAS6	AXLLG, AXSF	growth arrest-specific 6	3	
GATA1	ERYF1, GATA-1, GF-1, GF1, NF-E1, NFE1, XLANP, XLTDA, XLTT	GATA binding protein 1 (globin transcription factor 1)	1	
GATA2	DCML, IMD21, MONOMAC, NFE1B	GATA binding protein 2	1	
GATA3	HDR, HDRS	GATA binding protein 3	11	
GBA	GBA1, GCB, GLUC	glucosidase, beta, acid	2	
GC	DBP, DBP/GC, GRD3, HEL-S-51, VDBG, VDBP	group-specific component (vitamin D binding protein)	3	
GCG	GLP1, GLP2, GRPP	glucagon	4	
GCH1	DYT14, DYT5, DYT5a, GCH, GTP-CH-1, GTPCH1, HPABH4B	GTP cyclohydrolase 1	2	
GCKR	FGQTL5, GKRP	glucokinase (hexokinase 4) regulator	1	
KAT2A	GCN5, GCN5L2, PCAF-b, hGCN5	K(lysine) acetyltransferase 2A	1	
MSTN	GDF8, MSLHP	myostatin	1	
GDF10	BMP-3b, BMP3B	growth differentiation factor 10	1	
GDI1	1A, GDIL, MRX41, MRX48, OPHN2, RABGD1A, RABGDIA, XAP-4	GDP dissociation inhibitor 1	1	
GDNF	ATF1, ATF2, HFB1-GDNF, HSCR3	glial cell derived neurotrophic factor	3	
GFAP	ALXDRD	glial fibrillary acidic protein	5	
GFI1	GFI-1, GFI1A, SCN2, ZNF163	growth factor independent 1 transcription repressor	1	
GFPT1	CMS12, CMSTA1, GFA, GFAT, GFAT 1, GFAT1, GFAT1m, GFPT, GFPT1L, MSLG	glutamine--fructose-6-phosphate transaminase 1	1	
GGT1	CD224, D22S672, D22S732, GGT, GGT 1, GTG	gamma-glutamyltransferase 1	3	
B4GALT1	B4GAL-T1, CDG2D, GGTB2, GT1, GTB, beta4Gal-T1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	1	
GH1	GH, GH-N, GHN, IGHD1B, hGH-N	growth hormone 1	2	
GHR	GHBP, GHIP	growth hormone receptor	1	
GIF	IF, IFMH, INF, TCN3	gastric intrinsic factor (vitamin B synthesis)	1	
GIP		gastric inhibitory polypeptide	1	
GJA1	AVSD3, CMDR, CX43, GJAL, HLHS1, HSS, ODDD	gap junction protein, alpha 1, 43kDa	2	
GJA4	CX37	gap junction protein, alpha 4, 37kDa	1	
GJB2	CX26, DFNA3, DFNA3A, DFNB1, DFNB1A, HID, KID, NSRD1, PPK	gap junction protein, beta 2, 26kDa	1	
GK	GK1, GKD	glycerol kinase	1	
GPC3	DGSX, GTR2-2, MXR7, OCI-5, SDYS, SGB, SGBS, SGBS1	glypican 3	1	
GLB1	EBP, ELNR1, MPS4B	galactosidase, beta 1	1	
GLI1	GLI	GLI family zinc finger 1	2	
GLI2	CJS, HPE9, PHS2, THP1, THP2	GLI family zinc finger 2	1	
GLO1	GLOD1, GLYI, HEL-S-74	glyoxalase I	1	
GLRA1	HKPX1, STHE	glycine receptor, alpha 1	1	
GLRB	HKPX2	glycine receptor, beta	1	
GLS	AAD20, GAC, GAM, GLS1, KGA	glutaminase	1	
GLUD2	GDH2, GLUDP1	glutamate dehydrogenase 2	1	
GMFB	GMF	glia maturation factor, beta	1	
GNA12	NNX3, RMP, gep	guanine nucleotide binding protein (G protein) alpha 12	2	
GNRH1	GNRH, GRH, HH12, LHRH, LNRH	gonadotropin-releasing hormone 1 (luteinizing-releasing hormone)	3	
GOT1	AST1, ASTQTL1, GIG18, cAspAT, cCAT	glutamic-oxaloacetic transaminase 1, soluble	1	
GP1BA	BDPLT1, BDPLT3, BSS, CD42B, CD42b-alpha, DBPLT3, GP1B, GPIbA, VWDP	glycoprotein Ib (platelet), alpha polypeptide	1	
GP2	ZAP75	glycoprotein 2 (zymogen granule membrane)	4	
GPD2	GDH2, GPDM, mGPDH	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	1	
GPI	AMF, GNPI, NLK, PGI, PHI, SA-36, SA36	glucose-6-phosphate isomerase	2	
CCR10	GPR2	chemokine (C-C motif) receptor 10	4	
GPR3	ACCA	G protein-coupled receptor 3	3	
CXCR3	CD182, CD183, CKR-L2, CMKAR3, GPR9, IP10-R, Mig-R, MigR	chemokine (C-X-C motif) receptor 3	15	
GPR12	GPCR12, GPCR21, PPP1R84	G protein-coupled receptor 12	1	
GPR15	BOB	G protein-coupled receptor 15	1	
GPR18		G protein-coupled receptor 18	1	
GPR19		G protein-coupled receptor 19	1	
GPER1	CEPR, CMKRL2, DRY12, FEG-1, GPCR-Br, GPER, GPR30, LERGU, LERGU2, LyGPR, mER	G protein-coupled estrogen receptor 1	1	
GPR35		G protein-coupled receptor 35	3	
GPR37	EDNRBL, PAELR, hET(B)R-LP	G protein-coupled receptor 37 (endothelin receptor type B-like)	1	
FFAR2	FFA2R, GPR43	free fatty acid receptor 2	2	
GRK5	GPRK5	G protein-coupled receptor kinase 5	1	
GRK6	GPRK6	G protein-coupled receptor kinase 6	1	
MKNK2	GPRK7, MNK2	MAP kinase interacting serine/threonine kinase 2	1	
GPT	AAT1, ALT1, GPT1	glutamic-pyruvate transaminase (alanine aminotransferase)	1	
GPX1	GPXD, GSHPX1	glutathione peroxidase 1	5	
GPX4	GPx-4, GSHPx-4, MCSP, PHGPx, snGPx, snPHGPx	glutathione peroxidase 4	2	
GRB10	GRB-IR, Grb-10, IRBP, MEG1, RSS	growth factor receptor-bound protein 10	1	
GRIA2	GLUR2, GLURB, GluA2, GluR-K2, HBGR2	glutamate receptor, ionotropic, AMPA 2	1	
GRIA3	GLUR-C, GLUR-K3, GLUR3, GLURC, GluA3, MRX94	glutamate receptor, ionotropic, AMPA 3	1	
GRN	CLN11, GEP, GP88, PCDGF, PEPI, PGRN	granulin	7	
GRIK1	EAA3, EEA3, GLR5, GLUR5, GluK1	glutamate receptor, ionotropic, kainate 1	1	
GRIK2	EAA4, GLR6, GLUK6, GLUR6, GluK2, MRT6	glutamate receptor, ionotropic, kainate 2	1	
GRIN1	GluN1, MRD8, NMD-R1, NMDA1, NMDAR1, NR1	glutamate receptor, ionotropic, N-methyl D-aspartate 1	1	
GRIN2B	EIEE27, GluN2B, MRD6, NMDAR2B, NR2B, hNR3	glutamate receptor, ionotropic, N-methyl D-aspartate 2B	1	
GRIN2C	GluN2C, NMDAR2C, NR2C	glutamate receptor, ionotropic, N-methyl D-aspartate 2C	1	
NR3C1	GCCR, GCR, GCRST, GR, GRL	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	8	
GRM1	GPRC1A, MGLU1, MGLUR1, PPP1R85, SCAR13	glutamate receptor, metabotropic 1	1	
GRM2	GLUR2, GPRC1B, MGLUR2, mGlu2	glutamate receptor, metabotropic 2	2	
GRM4	GPRC1D, MGLUR4, mGlu4	glutamate receptor, metabotropic 4	1	
GRM5	GPRC1E, MGLUR5, PPP1R86, mGlu5	glutamate receptor, metabotropic 5	3	
CXCL1	FSP, GRO1, GROa, MGSA, MGSA-a, NAP-3, SCYB1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	6	
CXCL2	CINC-2a, GRO2, GROb, MGSA-b, MIP-2a, MIP2, MIP2A, SCYB2	chemokine (C-X-C motif) ligand 2	6	
CXCL3	CINC-2b, GRO3, GROg, MIP-2b, MIP2B, SCYB3	chemokine (C-X-C motif) ligand 3	1	
GRP	BN, GRP-10, preproGRP, proGRP	gastrin-releasing peptide	1	
GSK3B		glycogen synthase kinase 3 beta	2	
GSN	ADF, AGEL	gelsolin	5	
GSR	HEL-75	glutathione reductase	5	
GSTA4	GSTA4-4, GTA4	glutathione S-transferase alpha 4	1	
GSTM1	GST1, GSTM1-1, GSTM1a-1a, GSTM1b-1b, GTH4, GTM1, H-B, MU, MU-1	glutathione S-transferase mu 1	9	
GSTP1	DFN7, FAEES3, GST3, GSTP, HEL-S-22, PI	glutathione S-transferase pi 1	8	
GSTT1		glutathione S-transferase theta 1	8	
GTF2H4	P52, TFB2, TFIIH	general transcription factor IIH, polypeptide 4, 52kDa	1	
GTF2I	BAP135, BTKAP1, DIWS, GTFII-I, IB291, SPIN, TFII-I, WBS, WBSCR6	general transcription factor IIi	1	
GUCY1B2	GC-SB2	guanylate cyclase 1, soluble, beta 2 (pseudogene)	1	
GUCY2C	DIAR6, GUC2C, MECIL, MUCIL, STAR	guanylate cyclase 2C	1	
GZMA	CTLA3, HFSP	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	1	
GZMB	CCPI, CGL-1, CGL1, CSP-B, CSPB, CTLA1, CTSGL1, HLP, SECT	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	8	
H2AFX	H2A.X, H2A/X, H2AX	H2A histone family, member X	2	
HABP2	FSAP, HABP, HGFAL, PHBP	hyaluronan binding protein 2	1	
HADHA	ECHA, GBP, HADH, LCEH, LCHAD, MTPA, TP-ALPHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit	1	
HADHB	ECHB, MSTP029, MTPB, TP-BETA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit	1	
HADH	HAD, HADH1, HADHSC, HCDH, HHF4, MSCHAD, SCHAD	hydroxyacyl-CoA dehydrogenase	1	
HARS	HRS, USH3B	histidyl-tRNA synthetase	2	
HAS1	HAS	hyaluronan synthase 1	1	
HAS2		hyaluronan synthase 2	2	
HAS3		hyaluronan synthase 3	1	
HBA1	HBA-T3, HBH	hemoglobin, alpha 1	1	
HBA2	HBA-T2, HBH	hemoglobin, alpha 2	1	
HBB	CD113t-C, beta-globin	hemoglobin, beta	1	
HCK	JTK9, p59Hck, p61Hck	HCK proto-oncogene, Src family tyrosine kinase	1	
HCLS1	CTTNL, HS1, lckBP1, p75	hematopoietic cell-specific Lyn substrate 1	1	
HCRT	NRCLP1, OX, PPOX	hypocretin (orexin) neuropeptide precursor	2	
HCRTR1	OX1R	hypocretin (orexin) receptor 1	1	
HCRTR2	OX2R	hypocretin (orexin) receptor 2	1	
HTT	HD, IT15	huntingtin	1	
HDAC1	GON-10, HD1, RPD3, RPD3L1	histone deacetylase 1	5	
HDAC2	HD2, RPD3, YAF1	histone deacetylase 2	4	
HEXA	TSD	hexosaminidase A (alpha polypeptide)	2	
CFH	AHUS1, AMBP1, ARMD4, ARMS1, CFHL3, FH, FHL1, HF, HF1, HF2, HUS	complement factor H	6	
HFE	HFE1, HH, HLA-H, MVCD7, TFQTL2	hemochromatosis	3	
CFHR1	CFHL, CFHL1, CFHL1P, CFHR1P, FHR1, H36-1, H36-2, HFL1, HFL2	complement factor H-related 1	2	
HGF	DFNB39, F-TCF, HGFB, HPTA, SF	hepatocyte growth factor (hepapoietin A; scatter factor)	13	
NRG1	ARIA, GGF, GGF2, HGL, HRG, HRG1, HRGA, MST131, MSTP131, NDF, NRG1-IT2, SMDF	neuregulin 1	1	
HHEX	HEX, HMPH, HOX11L-PEN, PRH, PRHX	hematopoietically expressed homeobox	2	
HIF1A	HIF-1A, HIF-1alpha, HIF1, HIF1-ALPHA, MOP1, PASD8, bHLHe78	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	9	
HIP1	HIP-I, ILWEQ, SHON, SHONbeta, SHONgamma	huntingtin interacting protein 1	1	
UBE2K	E2-25K, HIP2, HYPG, LIG, UBC1	ubiquitin-conjugating enzyme E2K	1	
HK1	HK1-ta, HK1-tb, HK1-tc, HKD, HKI, HMSNR, HXK1	hexokinase 1	1	
HLA-A	HLAA	major histocompatibility complex, class I, A	17	
HLA-B	AS, HLAB, SPDA1	major histocompatibility complex, class I, B	21	
HLA-C	D6S204, HLA-JY3, HLC-C, PSORS1	major histocompatibility complex, class I, C	14	
HLA-DMA	D6S222E, DMA, HLADM, RING6	major histocompatibility complex, class II, DM alpha	5	
HLA-DOA	HLA-DNA, HLA-DZA, HLADZ	major histocompatibility complex, class II, DO alpha	3	
HLA-DOB	DOB	major histocompatibility complex, class II, DO beta	2	
HLA-DPA1	DP(W3), DP(W4), HLA-DP1A, HLADP, HLASB, PLT1	major histocompatibility complex, class II, DP alpha 1	3	
HLA-DPB1	DPB1, HLA-DP, HLA-DP1B, HLA-DPB	major histocompatibility complex, class II, DP beta 1	11	
HLA-DPB2	DP2B, DPB2, DPbeta2, HLA-DP2B	major histocompatibility complex, class II, DP beta 2 (pseudogene)	1	
HLA-DQA1	CD, CELIAC1, DQ-A1, GSE, HLA-DQA	major histocompatibility complex, class II, DQ alpha 1	17	
HLA-DQA2	DX-ALPHA, HLA-DXA	major histocompatibility complex, class II, DQ alpha 2	7	
HLA-DQB1	CELIAC1, HLA-DQB, IDDM1	major histocompatibility complex, class II, DQ beta 1	21	
HLA-DQB2	HLA-DQB1, HLA-DXB	major histocompatibility complex, class II, DQ beta 2	3	
HLA-DRA	HLA-DRA1, MLRW	major histocompatibility complex, class II, DR alpha	10	
HLA-DRB1	DRB1, DRw10, HLA-DR1B, HLA-DRB, SS1	major histocompatibility complex, class II, DR beta 1	28	
HLA-DRB2	HLA-DR2B	major histocompatibility complex, class II, DR beta 2 (pseudogene)	1	
HLA-DRB3	DRB1, DRw10, HLA-DR1B, HLA-DR3B, HLA-DRB, SS1	major histocompatibility complex, class II, DR beta 3	3	
HLA-DRB4	DR-4, DR4, DRB4, HLA-DR4B	major histocompatibility complex, class II, DR beta 4	8	
HLA-DRB5	HLA-DRB	major histocompatibility complex, class II, DR beta 5	5	
HLA-DRB6		major histocompatibility complex, class II, DR beta 6 (pseudogene)	2	
HLA-DRB9	D6S206, D6S206E, HLA-DR1BL, HLA-DRB1L	major histocompatibility complex, class II, DR beta 9 (pseudogene)	2	
HLA-E	EA1.2, EA2.1, HLA-6.2, MHC, QA1	major histocompatibility complex, class I, E	14	
HLA-F	CDA12, HLA-5.4, HLA-CDA12, HLAF	major histocompatibility complex, class I, F	4	
HLA-G	MHC-G	major histocompatibility complex, class I, G	12	
HLA-H	HLAHP	major histocompatibility complex, class I, H (pseudogene)	1	
HLA-J	CDA12, D6S203, HLA-59, HLA-CDA12	major histocompatibility complex, class I, J (pseudogene)	1	
HLA-K	HLA-70, HLA70, HLAK	major histocompatibility complex, class I, K (pseudogene)	1	
HLA-L	HLA-92, HLA92, HLAL	major histocompatibility complex, class I, L (pseudogene)	1	
HLX	HB24, HLX1	H2.0-like homeobox	1	
HMGB1	HMG1, HMG3, SBP-1	high mobility group box 1	11	
HMGCR	LDLCQ3	3-hydroxy-3-methylglutaryl-CoA reductase	1	
HMOX1	HMOX1D, HO-1, HSP32, bK286B10	heme oxygenase 1	13	
HMOX2	HO-2	heme oxygenase 2	1	
NR4A1	GFRP1, HMR, N10, NAK-1, NGFIB, NP10, NUR77, TR3	nuclear receptor subfamily 4, group A, member 1	3	
FOXA1	HNF3A, TCF3A	forkhead box A1	1	
HNF4A	FRTS4, HNF4, HNF4a7, HNF4a8, HNF4a9, HNF4alpha, MODY, MODY1, NR2A1, NR2A21, TCF, TCF14	hepatocyte nuclear factor 4, alpha	4	
HNMT	HMT, HNMT-S1, HNMT-S2	histamine N-methyltransferase	2	
HNRNPA2B1	HNRNPA2, HNRNPB1, HNRPA2, HNRPA2B1, HNRPB1, IBMPFD2, RNPA2, SNRPB1	heterogeneous nuclear ribonucleoprotein A2/B1	2	
HNRNPC	C1, C2, HNRNP, HNRPC, SNRPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	1	
HNRNPL	HNRPL, P/OKcl.14, hnRNP-L	heterogeneous nuclear ribonucleoprotein L	1	
TLX2	HOX11L1, NCX	T-cell leukemia homeobox 2	1	
HOXB4	HOX-2.6, HOX2, HOX2F	homeobox B4	1	
HOXB9	HOX-2.5, HOX2, HOX2E	homeobox B9	1	
HOXD9	HOX4, HOX4C, Hox-4.3, Hox-5.2	homeobox D9	1	
HOXD13	BDE, BDSD, HOX4I, SPD	homeobox D13	1	
HP	BP, HP2ALPHA2, HPA1S	haptoglobin	10	
HPRT1	HGPRT, HPRT	hypoxanthine phosphoribosyltransferase 1	7	
HPS1	HPS	Hermansky-Pudlak syndrome 1	1	
HPX	HX	hemopexin	1	
HRH1	H1-R, H1R, HH1R, hisH1	histamine receptor H1	3	
HRES1	HRES-1, HRES-1/p28	HTLV-1 related endogenous sequence	1	
HRG	HPRG, HRGP, THPH11	histidine-rich glycoprotein	1	
HRH2	H2R	histamine receptor H2	2	
HES1	HES-1, HHL, HRY, bHLHb39	hes family bHLH transcription factor 1	2	
HSF2	HSF 2, HSTF 2	heat shock transcription factor 2	1	
HSPA1A	HEL-S-103, HSP70-1, HSP70-1A, HSP70.1, HSP70I, HSP72, HSPA1	heat shock 70kDa protein 1A	6	
HSPA1B	HSP70-1B, HSP70-2, HSP70.2	heat shock 70kDa protein 1B	7	
HSPA1L	HSP70-1L, HSP70-HOM, HSP70T, hum70t	heat shock 70kDa protein 1-like	1	
HSPA2	HSP70-2, HSP70-3	heat shock 70kDa protein 2	1	
HSPA4	APG-2, HEL-S-5a, HS24/P52, HSPH2, RY, hsp70, hsp70RY	heat shock 70kDa protein 4	5	
HSPA5	BIP, GRP78, HEL-S-89n, MIF2	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	7	
HSPA6		heat shock 70kDa protein 6 (HSP70B')	2	
HSPA8	HEL-33, HEL-S-72p, HSC54, HSC70, HSC71, HSP71, HSP73, HSPA10, LAP-1, LAP1, NIP71	heat shock 70kDa protein 8	1	
HSPA9	CRP40, CSA, GRP-75, GRP75, HEL-S-124m, HSPA9B, MOT, MOT2, MTHSP75, PBP74	heat shock 70kDa protein 9 (mortalin)	1	
HSPB1	CMT2F, HEL-S-102, HMN2B, HS.76067, HSP27, HSP28, Hsp25, SRP27	heat shock 27kDa protein 1	5	
HSP90AA1	EL52, HSP86, HSP89A, HSP90A, HSP90N, HSPC1, HSPCA, HSPCAL1, HSPCAL4, HSPN, Hsp89, Hsp90, LAP-2, LAP2	heat shock protein 90kDa alpha (cytosolic), class A member 1	9	
HSPD1	CPN60, GROEL, HLD4, HSP-60, HSP60, HSP65, HuCHA60, SPG13	heat shock 60kDa protein 1 (chaperonin)	13	
DNAJB1	HSPF1, Hdj1, Hsp40, RSPH16B, Sis1	DnaJ (Hsp40) homolog, subfamily B, member 1	1	
HTR1A	5-HT-1A, 5-HT1A, 5HT1a, ADRB2RL1, ADRBRL1, G-21, PFMCD	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	4	
HTR1B	5-HT1B, 5-HT1DB, HTR1D2, HTR1DB, S12	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled	1	
HTR2A	5-HT2A, HTR2	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	6	
HTR2B	5-HT(2B), 5-HT2B	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled	1	
HTR2C	5-HT1C, 5-HT2C, 5-HTR2C, 5HTR2C, HTR1C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	1	
HTR3A	5-HT-3, 5-HT3A, 5-HT3R, 5HT3R, HTR3	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic	1	
HTR4	5-HT4, 5-HT4R	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled	1	
HTR6	5-HT6, 5-HT6R	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled	1	
TNC	150-225, DFNA56, GMEM, GP, HXB, JI, TN, TN-C	tenascin C	4	
IAPP	DAP, IAP	islet amyloid polypeptide	1	
IARS	IARS1, ILERS, ILRS, IRS, PRO0785	isoleucyl-tRNA synthetase	2	
IBD2		inflammatory bowel disease 2	3	
IBSP	BNSP, BSP, BSP-II, SP-II	integrin-binding sialoprotein	2	
ICA1	ICA69, ICAp69	islet cell autoantigen 1, 69kDa	1	
ICAM1	BB2, CD54, P3.58	intercellular adhesion molecule 1	20	
ICAM2	CD102	intercellular adhesion molecule 2	1	
ICAM3	CD50, CDW50, ICAM-R	intercellular adhesion molecule 3	2	
IRF8	H-ICSBP, ICSBP, ICSBP1, IMD32A, IMD32B, IRF-8	interferon regulatory factor 8	7	
ID1	ID, bHLHb24	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	3	
ID2	GIG8, ID2A, ID2H, bHLHb26	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	1	
ID4	IDB4, bHLHb27	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	2	
IDDM3		insulin-dependent diabetes mellitus 3	1	
IDDM4		insulin-dependent diabetes mellitus 4	1	
IDDM6		insulin-dependent diabetes mellitus 6	1	
IDDM7		insulin-dependent diabetes mellitus 7	1	
IDDM8		insulin-dependent diabetes mellitus 8	1	
IDDM9		insulin-dependent diabetes mellitus 9	1	
IDDM11		insulin-dependent diabetes mellitus 11	1	
IDDM13		insulin-dependent diabetes mellitus 13	1	
IDDM14		insulin-dependent diabetes mellitus 14	1	
IDDM15		insulin-dependent diabetes mellitus 15	1	
IDDM16		insulin-dependent diabetes mellitus 16	1	
IDH1	HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD	isocitrate dehydrogenase 1 (NADP+), soluble	1	
IDH2	D2HGA2, ICD-M, IDH, IDHM, IDP, IDPM, mNADP-IDH	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1	
IFI16	IFNGIP1, PYHIN2	interferon, gamma-inducible protein 16	7	
IFI27	FAM14D, ISG12, ISG12A, P27	interferon, alpha-inducible protein 27	5	
IFIT1	C56, G10P1, IFI-56, IFI-56K, IFI56, IFIT-1, IFNAI1, ISG56, P56, RNM561	interferon-induced protein with tetratricopeptide repeats 1	2	
IFIT3	CIG-49, GARG-49, IFI60, IFIT4, IRG2, ISG60, P60, RIG-G, cig41	interferon-induced protein with tetratricopeptide repeats 3	2	
IFN1@	IFNA	interferon, type 1, cluster	10	
IFNA1	IFL, IFN, IFN-ALPHA, IFN-alphaD, IFNA13, IFNA@	interferon, alpha 1	16	
IFNA2	IFN-alphaA, IFNA, IFNA2B, INFA2	interferon, alpha 2	6	
IFNA4	IFN-alpha4a, INFA4	interferon, alpha 4	1	
IFNA10	IFN-alphaC	interferon, alpha 10	2	
IFNA17	IFN-alphaI, IFNA, INFA, LEIF2C1	interferon, alpha 17	3	
IFNAR1	AVP, IFN-alpha-REC, IFNAR, IFNBR, IFRC	interferon (alpha, beta and omega) receptor 1	4	
IFNAR2	IFN-R, IFN-alpha-REC, IFNABR, IFNARB	interferon (alpha, beta and omega) receptor 2	2	
IFNB1	IFB, IFF, IFNB	interferon, beta 1, fibroblast	8	
IFNG	IFG, IFI	interferon, gamma	27	
IFNGR1	CD119, IFNGR, IMD27A, IMD27B	interferon gamma receptor 1	4	
IFNGR2	AF-1, IFGR2, IFNGT1, IMD28	interferon gamma receptor 2 (interferon gamma transducer 1)	4	
IGES		immunoglobulin E concentration, serum	2	
IGF1	IGF-I, IGF1A, IGFI	insulin-like growth factor 1 (somatomedin C)	7	
IGF1R	CD221, IGFIR, IGFR, JTK13	insulin-like growth factor 1 receptor	6	
IGF2	C11orf43, IGF-II, PP9974	insulin-like growth factor 2	4	
IGF2R	CD222, CIMPR, M6P-R, MPR1, MPRI	insulin-like growth factor 2 receptor	2	
IGFBP1	AFBP, IBP1, IGF-BP25, PP12, hIGFBP-1	insulin-like growth factor binding protein 1	1	
IGFBP2	IBP2, IGF-BP53	insulin-like growth factor binding protein 2, 36kDa	1	
IGFBP3	BP-53, IBP3	insulin-like growth factor binding protein 3	4	
IGFBP4	BP-4, HT29-IGFBP, IBP4, IGFBP-4	insulin-like growth factor binding protein 4	1	
IGFBP5	IBP5	insulin-like growth factor binding protein 5	4	
IGFBP7	AGM, FSTL2, IBP-7, IGFBP-7, IGFBP-7v, IGFBPRP1, MAC25, PSF, RAMSVPS, TAF	insulin-like growth factor binding protein 7	1	
CYR61	CCN1, GIG1, IGFBP10	cysteine-rich, angiogenic inducer, 61	6	
IGH	IGD1, IGH.1@, IGH@, IGHD@, IGHDY1, IGHJ, IGHJ@, IGHV, IGHV@	immunoglobulin heavy locus	3	
IGHD		immunoglobulin heavy constant delta	2	
IGHE	IgE	immunoglobulin heavy constant epsilon	3	
IGHG1		immunoglobulin heavy constant gamma 1 (G1m marker)	1	
IGHG2		immunoglobulin heavy constant gamma 2 (G2m marker)	1	
IGHG3	IgG3	immunoglobulin heavy constant gamma 3 (G3m marker)	7	
IGHM	AGM1, MU, VH	immunoglobulin heavy constant mu	1	
RBPJ	AOS3, CBF1, IGKJRB, IGKJRB1, KBF2, RBP-J, RBPJK, RBPSUH, SUH, csl	recombination signal binding protein for immunoglobulin kappa J region	2	
IGKV@	IGKV, IGKV1, IGKV1@, IGKV2, IGKV2@, IGKV3, IGKV3@	immunoglobulin kappa variable cluster	1	
IGL	IGL@, IGLC6	immunoglobulin lambda locus	1	
IKBKB	IKK-beta, IKK2, IKKB, IMD15, NFKBIKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	3	
IL1A	IL-1A, IL1, IL1-ALPHA, IL1F1	interleukin 1, alpha	14	
IL1B	IL-1, IL1-BETA, IL1F2	interleukin 1, beta	25	
IL1R1	CD121A, D2S1473, IL-1R-alpha, IL1R, IL1RA, P80	interleukin 1 receptor, type I	12	
IL1RAP	C3orf13, IL-1RAcP, IL1R3	interleukin 1 receptor accessory protein	1	
IL1RN	DIRA, ICIL-1RA, IL-1RN, IL-1ra, IL-1ra3, IL1F3, IL1RA, IRAP, MVCD4	interleukin 1 receptor antagonist	18	
IL2	IL-2, TCGF, lymphokine	interleukin 2	28	
IL2RA	CD25, IDDM10, IL2R, TCGFR, p55	interleukin 2 receptor, alpha	20	
IL2RB	CD122, IL15RB, P70-75	interleukin 2 receptor, beta	8	
IL2RG	CD132, CIDX, IL-2RG, IMD4, P64, SCIDX, SCIDX1	interleukin 2 receptor, gamma	3	
IL3	IL-3, MCGF, MULTI-CSF	interleukin 3	7	
IL3RA	CD123, IL3R, IL3RAY, IL3RX, IL3RY, hIL-3Ra	interleukin 3 receptor, alpha (low affinity)	1	
IL4	BCGF-1, BCGF1, BSF-1, BSF1, IL-4	interleukin 4	26	
IL4R	CD124, IL-4RA, IL4RA	interleukin 4 receptor	5	
IL5	EDF, IL-5, TRF	interleukin 5	11	
IL6	BSF2, HGF, HSF, IFNB2, IL-6	interleukin 6	29	
IL6R	CD126, IL-6R-1, IL-6RA, IL6Q, IL6RA, IL6RQ, gp80	interleukin 6 receptor	10	
IL6ST	CD130, CDW130, GP130, IL-6RB	interleukin 6 signal transducer	5	
IL7	IL-7	interleukin 7	10	
IL7R	CD127, CDW127, IL-7R-alpha, IL7RA, ILRA	interleukin 7 receptor	8	
CXCL8	GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1	chemokine (C-X-C motif) ligand 8	22	
CXCR1	C-C, C-C-CKR-1, CD128, CD181, CDw128a, CKR-1, CMKAR1, IL8R1, IL8RA, IL8RBA	chemokine (C-X-C motif) receptor 1	5	
IL9	HP40, IL-9, P40	interleukin 9	13	
CXCR2	CD182, CDw128b, CMKAR2, IL8R2, IL8RA, IL8RB	chemokine (C-X-C motif) receptor 2	8	
